ticker,company_name,sector,year,has_text,text_len,tone_net,tone_change_from_prior,total_theme_mentions_per_10k,theme_mentions_change_from_prior,dominant_theme,text_similarity_to_prior,changed_from_prior,theme_shift_from_prior
COP,ConocoPhillips,Energy,2021,True,484264,0.2606,-0.13230000000000003,57.7783,-0.19700000000000273,financial_performance_growth,0.26655,True,5.211000000000004
COP,ConocoPhillips,Energy,2022,True,560167,0.3648,0.10420000000000001,54.8407,-2.9376000000000033,financial_performance_growth,0.2274,True,12.543199999999999
COP,ConocoPhillips,Energy,2023,True,690268,0.3893,0.024499999999999966,51.0092,-3.8314999999999984,financial_performance_growth,0.1798,True,10.622699999999998
COP,ConocoPhillips,Energy,2024,True,458497,0.3621,-0.027200000000000002,58.3864,7.377200000000002,financial_performance_growth,0.3658,True,7.476600000000001
CRM,Salesforce,Technology,2016,True,238263,0.3654,,51.917500000000004,,financial_performance_growth,,,
CRM,Salesforce,Technology,2017,True,503873,0.2299,-0.1355,44.8923,-7.025200000000005,financial_performance_growth,0.504,True,13.6452
CRM,Salesforce,Technology,2018,True,528324,0.0374,-0.1925,39.1806,-5.7117,financial_performance_growth,0.4975,True,8.799700000000001
CRM,Salesforce,Technology,2019,True,537327,0.122,0.0846,39.4731,0.292500000000004,financial_performance_growth,0.7094,True,1.4340999999999986
CRM,Salesforce,Technology,2020,True,541593,0.2713,0.1493,46.8986,7.4254999999999995,financial_performance_growth,0.3851,True,8.273899999999998
CRM,Salesforce,Technology,2021,True,438039,0.2174,-0.053899999999999976,53.9907,7.092099999999995,financial_performance_growth,0.67945,True,9.369699999999998
CRM,Salesforce,Technology,2022,True,553249,0.3652,0.14780000000000001,48.7665,-5.224199999999996,financial_performance_growth,0.55175,True,8.2456
CRM,Salesforce,Technology,2023,True,490498,0.3012,-0.064,54.7198,5.953299999999999,financial_performance_growth,0.3546,True,11.212900000000001
CRM,Salesforce,Technology,2024,True,523207,0.2351,-0.06610000000000002,57.6636,2.943800000000003,financial_performance_growth,0.50355,True,4.3074
CVX,Chevron,Energy,2016,True,410070,0.0037,,50.7231,,financial_performance_growth,,,
CVX,Chevron,Energy,2017,True,348275,-0.0086,-0.0123,51.425,0.7018999999999949,financial_performance_growth,0.67495,True,4.9123
CVX,Chevron,Energy,2018,True,357276,0.1284,0.13699999999999998,52.592299999999994,1.1672999999999973,financial_performance_growth,0.20035,True,3.2559
CVX,Chevron,Energy,2019,True,364926,0.0169,-0.11149999999999999,55.7647,3.172400000000003,financial_performance_growth,0.5754,True,4.364799999999999
CVX,Chevron,Energy,2020,True,381016,0.0,-0.0169,55.48309999999999,-0.2816000000000045,financial_performance_growth,0.41345,True,5.121799999999999
CVX,Chevron,Energy,2021,True,391553,0.1491,0.1491,58.8172,3.3341000000000065,financial_performance_growth,0.257,True,9.126900000000001
CVX,Chevron,Energy,2022,True,513371,0.1844,0.0353,51.85340000000001,-6.963799999999992,financial_performance_growth,0.5664,True,8.5792
CVX,Chevron,Energy,2023,True,464322,0.1204,-0.06400000000000002,64.115,12.261599999999987,financial_performance_growth,0.08375,True,12.2616
CVX,Chevron,Energy,2024,True,439186,0.0526,-0.0678,63.1395,-0.9754999999999967,financial_performance_growth,0.26805,True,4.854500000000003
EOG,EOG Resources,Energy,2016,True,207629,0.1636,,45.5139,,financial_performance_growth,,,
EOG,EOG Resources,Energy,2017,True,227627,0.2743,0.11069999999999999,44.283,-1.2308999999999983,financial_performance_growth,0.65535,True,4.4971
EOG,EOG Resources,Energy,2018,True,264247,0.3488,0.07450000000000001,43.747,-0.5360000000000014,financial_performance_growth,0.81285,True,5.944199999999999
